mode,strategy,source_count,seed,all_cleared,cleared_count,clearance_ratio,per_source_s,total_time_s,program_runtime_s,termination_reason,failure,exit_failure,movement_s,measurement_s,switching_s,clearance_s
route_pool,实验组_第二版路线候选池,12,70261921,True,12,1.0,248.92571885792822,2987.1086262951385,1.5186849999954575,all_cleared,,,2304.108626295138,525.0,98.0,60.0
previous,对照组_上一版联合路线,12,70261922,True,12,1.0,269.250606715618,3231.007280587416,0.4175697000027867,all_cleared,,,2344.007280587415,700.0,127.0,60.0
route_pool,实验组_第二版路线候选池,12,70261922,True,12,1.0,267.42276294530643,3209.073155343677,1.2499852000037208,all_cleared,,,2404.073155343677,630.0,115.0,60.0
previous,对照组_上一版联合路线,12,70261923,True,12,1.0,258.95148337800947,3107.4178005361136,0.44122419999621343,all_cleared,,,2258.4178005361136,665.0,124.0,60.0
route_pool,实验组_第二版路线候选池,12,70261923,True,12,1.0,255.54940508675563,3066.5928610410674,1.5328536000015447,all_cleared,,,2230.592861041068,655.0,121.0,60.0
previous,对照组_上一版联合路线,12,70261924,True,12,1.0,256.4902446135102,3077.882935362122,0.30808450000040466,all_cleared,,,2268.882935362123,630.0,119.0,60.0
route_pool,实验组_第二版路线候选池,12,70261924,True,12,1.0,254.26787137144223,3051.214456457307,1.3008992999966722,all_cleared,,,2282.2144564573064,595.0,114.0,60.0
previous,对照组_上一版联合路线,12,70261925,True,12,1.0,272.78032599997084,3273.36391199965,0.38650760000018636,all_cleared,,,2368.363911999649,710.0,135.0,60.0
route_pool,实验组_第二版路线候选池,12,70261925,True,12,1.0,256.0649435965192,3072.77932315823,1.341334899996582,all_cleared,,,2340.7793231582295,565.0,107.0,60.0
previous,对照组_上一版联合路线,12,70261926,True,12,1.0,287.4010450655234,3448.812540786281,0.39245669999945676,all_cleared,,,2543.8125407862804,715.0,130.0,60.0
route_pool,实验组_第二版路线候选池,12,70261926,True,12,1.0,272.17455357265766,3266.0946428718917,1.348598700002185,all_cleared,,,2422.0946428718917,660.0,124.0,60.0
previous,对照组_上一版联合路线,12,70261927,True,12,1.0,252.99203458687842,3035.904415042541,0.3376381999987643,all_cleared,,,2219.9044150425407,635.0,121.0,60.0
route_pool,实验组_第二版路线候选池,12,70261927,True,12,1.0,254.90886891670573,3058.9064270004687,1.1425549999985378,all_cleared,,,2266.9064270004687,615.0,117.0,60.0
previous,对照组_上一版联合路线,12,70261928,True,12,1.0,266.18388960454007,3194.2066752544806,0.3849259999988135,all_cleared,,,2283.2066752544806,715.0,136.0,60.0
route_pool,实验组_第二版路线候选池,12,70261928,True,12,1.0,257.5745781474309,3090.8949377691706,1.650852599996142,all_cleared,,,2293.89493776917,620.0,117.0,60.0
previous,对照组_上一版联合路线,12,70261929,True,12,1.0,285.86842993118796,3430.4211591742555,0.40668030000233557,all_cleared,,,2503.4211591742546,730.0,137.0,60.0
route_pool,实验组_第二版路线候选池,12,70261929,True,12,1.0,243.0255174187695,2916.3062090252342,1.1138859999991837,all_cleared,,,2119.3062090252333,620.0,117.0,60.0
previous,对照组_上一版联合路线,12,70261930,True,12,1.0,267.8021163029404,3213.6253956352853,0.4081192000012379,all_cleared,,,2389.6253956352853,645.0,119.0,60.0
